id,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals
1001,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(13,240,255)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
1003,"rgb(66,146,198)","rgb(114,142,25)","rgb(227,149,95)","rgb(13,240,255)","rgb(104,25,142)","rgb(105,105,105)","rgb(105,105,105)"
1005,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1007,"rgb(8,81,156)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1009,"rgb(33,113,181)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,188,200)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
1011,"rgb(8,48,107)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,60,64)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)"
1013,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1015,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1017,"rgb(8,81,156)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1019,"rgb(8,81,156)","rgb(161,200,36)","rgb(158,81,28)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
1021,"rgb(33,113,181)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1023,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)"
1025,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
1027,"rgb(33,113,181)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,156,166)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
1029,"rgb(8,81,156)","rgb(161,200,36)","rgb(158,81,28)","rgb(0,156,166)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)"
1031,"rgb(33,113,181)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,156,166)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1033,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1035,"rgb(33,113,181)","rgb(91,114,20)","rgb(158,81,28)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1037,"rgb(66,146,198)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1039,"rgb(8,81,156)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1041,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(105,105,105)"
1043,"rgb(66,146,198)","rgb(161,200,36)","rgb(129,66,23)","rgb(0,188,200)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)"
1045,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1047,"rgb(8,48,107)","rgb(45,56,10)","rgb(187,96,33)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1049,"rgb(8,81,156)","rgb(114,142,25)","rgb(100,51,18)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1051,"rgb(66,146,198)","rgb(68,85,15)","rgb(187,96,33)","rgb(13,240,255)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
1053,"rgb(8,81,156)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(120,32,21)"
1055,"rgb(33,113,181)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,124,132)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
1057,"rgb(33,113,181)","rgb(161,200,36)","rgb(187,96,33)","rgb(0,156,166)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1059,"rgb(8,48,107)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1061,"rgb(33,113,181)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1063,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
1065,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1067,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
1069,"rgb(33,113,181)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,124,132)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
1071,"rgb(66,146,198)","rgb(161,200,36)","rgb(227,149,95)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1073,"rgb(66,146,198)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,156,166)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)"
1075,"rgb(33,113,181)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,124,132)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)"
1077,"rgb(158,202,225)","rgb(91,114,20)","rgb(187,96,33)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1079,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,156,166)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1081,"rgb(222,235,247)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,188,200)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
1083,"rgb(33,113,181)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,219,234)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1085,"rgb(8,81,156)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)"
1087,"rgb(198,219,239)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
1089,"rgb(198,219,239)","rgb(68,85,15)","rgb(227,149,95)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1091,"rgb(66,146,198)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
1093,"rgb(8,81,156)","rgb(161,200,36)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1095,"rgb(8,48,107)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1097,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1099,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1101,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1103,"rgb(33,113,181)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,188,200)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1105,"rgb(66,146,198)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1107,"rgb(66,146,198)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1109,"rgb(66,146,198)","rgb(45,56,10)","rgb(187,96,33)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(120,32,21)"
1111,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1113,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1115,"rgb(33,113,181)","rgb(114,142,25)","rgb(158,81,28)","rgb(0,219,234)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
1117,"rgb(222,235,247)","rgb(179,219,51)","rgb(129,66,23)","rgb(200,252,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
1119,"rgb(107,174,214)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(177,80,224)","rgb(105,105,105)","rgb(120,32,21)"
1121,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1123,"rgb(33,113,181)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1125,"rgb(198,219,239)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
1127,"rgb(33,113,181)","rgb(114,142,25)","rgb(158,81,28)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(120,32,21)"
1129,"rgb(66,146,198)","rgb(68,85,15)","rgb(129,66,23)","rgb(0,124,132)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)"
1131,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
1133,"rgb(33,113,181)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,124,132)","rgb(83,20,114)","rgb(105,105,105)","rgb(120,32,21)"
2013,"rgb(107,174,214)","rgb(45,56,10)","rgb(227,149,95)","rgb(13,240,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
2016,"rgb(107,174,214)","rgb(114,142,25)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2020,"rgb(158,202,225)","rgb(45,56,10)","rgb(227,149,95)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2050,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
2060,"rgb(107,174,214)","rgb(200,229,109)","rgb(129,66,23)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2068,"rgb(107,174,214)","rgb(200,229,109)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2070,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
2090,"rgb(158,202,225)","rgb(45,56,10)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2100,"rgb(107,174,214)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,219,234)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2110,"rgb(198,219,239)","rgb(68,85,15)","rgb(129,66,23)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
2122,"rgb(198,219,239)","rgb(114,142,25)","rgb(227,149,95)","rgb(13,240,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2130,"rgb(158,202,225)","rgb(68,85,15)","rgb(227,149,95)","rgb(132,247,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2150,"rgb(198,219,239)","rgb(68,85,15)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
2164,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
2170,"rgb(198,219,239)","rgb(91,114,20)","rgb(100,51,18)","rgb(132,247,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2180,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
2185,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,219,234)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
2188,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2220,"rgb(222,235,247)","rgb(68,85,15)","rgb(100,51,18)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)"
2240,"rgb(198,219,239)","rgb(179,219,51)","rgb(227,149,95)","rgb(0,188,200)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2261,"rgb(222,235,247)","rgb(114,142,25)","rgb(227,149,95)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(120,32,21)"
2270,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(41,10,56)","rgb(120,32,21)","rgb(105,105,105)"
2282,"rgb(107,174,214)","rgb(161,200,36)","rgb(100,51,18)","rgb(13,240,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
2290,"rgb(66,146,198)","rgb(45,56,10)","rgb(100,51,18)","rgb(0,92,98)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)"
4001,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
4003,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
4005,"rgb(107,174,214)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,188,200)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
4007,"rgb(8,48,107)","rgb(91,114,20)","rgb(158,81,28)","rgb(0,92,98)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
4009,"rgb(66,146,198)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
4011,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(13,240,255)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
4012,"rgb(8,48,107)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,60,64)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
4013,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,219,234)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
4015,"rgb(8,81,156)","rgb(138,171,31)","rgb(227,149,95)","rgb(0,124,132)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
4017,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
4019,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,188,200)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
4021,"rgb(8,48,107)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,219,234)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)"
4023,"rgb(8,81,156)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,92,98)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
4025,"rgb(66,146,198)","rgb(161,200,36)","rgb(129,66,23)","rgb(0,188,200)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)"
4027,"rgb(8,48,107)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,124,132)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
5001,"rgb(33,113,181)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(120,32,21)","rgb(105,105,105)"
5003,"rgb(8,81,156)","rgb(68,85,15)","rgb(158,81,28)","rgb(0,92,98)","rgb(41,10,56)","rgb(120,32,21)","rgb(120,32,21)"
5005,"rgb(66,146,198)","rgb(161,200,36)","rgb(158,81,28)","rgb(0,156,166)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5007,"rgb(33,113,181)","rgb(161,200,36)","rgb(227,149,95)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5009,"rgb(33,113,181)","rgb(138,171,31)","rgb(158,81,28)","rgb(0,156,166)","rgb(41,10,56)","rgb(105,105,105)","rgb(120,32,21)"
5011,"rgb(8,48,107)","rgb(91,114,20)","rgb(100,51,18)","rgb(0,60,64)","rgb(41,10,56)","rgb(120,32,21)","rgb(105,105,105)"
5013,"rgb(66,146,198)","rgb(91,114,20)","rgb(129,66,23)","rgb(0,156,166)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
5015,"rgb(8,81,156)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,92,98)","rgb(164,51,219)","rgb(105,105,105)","rgb(105,105,105)"
5017,"rgb(8,81,156)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(104,25,142)","rgb(105,105,105)","rgb(105,105,105)"
5019,"rgb(198,219,239)","rgb(68,85,15)","rgb(187,96,33)","rgb(0,124,132)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)"
5021,"rgb(8,81,156)","rgb(189,224,80)","rgb(158,81,28)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(120,32,21)"
5023,"rgb(33,113,181)","rgb(179,219,51)","rgb(227,149,95)","rgb(0,92,98)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5025,"rgb(66,146,198)","rgb(114,142,25)","rgb(227,149,95)","rgb(0,156,166)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5027,"rgb(107,174,214)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,92,98)","rgb(104,25,142)","rgb(120,32,21)","rgb(120,32,21)"
5029,"rgb(33,113,181)","rgb(138,171,31)","rgb(129,66,23)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
5031,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
5033,"rgb(33,113,181)","rgb(179,219,51)","rgb(100,51,18)","rgb(0,124,132)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5035,"rgb(8,48,107)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(125,31,171)","rgb(120,32,21)","rgb(120,32,21)"
5037,"rgb(8,81,156)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)"
5039,"rgb(33,113,181)","rgb(45,56,10)","rgb(129,66,23)","rgb(0,92,98)","rgb(83,20,114)","rgb(120,32,21)","rgb(105,105,105)"
5041,"rgb(8,48,107)","rgb(45,56,10)","rgb(158,81,28)","rgb(0,60,64)","rgb(62,15,85)","rgb(120,32,21)","rgb(105,105,105)"
5043,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,92,98)","rgb(62,15,85)","rgb(120,32,21)","rgb(120,32,21)"
5045,"rgb(198,219,239)","rgb(91,114,20)","rgb(227,149,95)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(120,32,21)"
5047,"rgb(33,113,181)","rgb(91,114,20)","rgb(227,149,95)","rgb(0,124,132)","rgb(164,51,219)","rgb(105,105,105)","rgb(120,32,21)"
5049,"rgb(66,146,198)","rgb(189,224,80)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)"
5051,"rgb(8,81,156)","rgb(114,142,25)","rgb(129,66,23)","rgb(0,92,98)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
5053,"rgb(107,174,214)","rgb(179,219,51)","rgb(129,66,23)","rgb(13,240,255)","rgb(125,31,171)","rgb(105,105,105)","rgb(105,105,105)"
5055,"rgb(8,48,107)","rgb(179,219,51)","rgb(158,81,28)","rgb(0,156,166)","rgb(104,25,142)","rgb(105,105,105)","rgb(120,32,21)"
